Node,Node_type,Node_connections,Object,Door,Object_type_category,Object_type,Exit_Connections,Vertical_node_connections
M2_entry,object,H2_Path1_1,M2-Building_H2,,exit,building_connection,M2,
H2_Path1_1,turn,"H2_entry, H2_Path1_2",,,,,,
H2_Path1_2,turn,"H2_Path1_1, H2_Int_1",,,,,,
H2_Int_1,int,"H2_Path1_2, H2_Path2_1, H2_Path3_1, H2_Path4_1",,,,,,
H2_Path2_1,object,"H2_Int_1, H2_Path2_2",Elevator_H2,,exit,elevator,[H1|H3],[Elevator_H1|Elevator_H3]
H2_Path2_2,object,H2_Path2_1,Stairs_1_H2,,exit,stairs,[H1|H3],[Stairs_1_H1|Stairs_1_H3]
H2_Path3_1,object,"H2_Int_1, H2_Path3_2",H2014,Door_H2014_1,room,classroom,,
H2_Path3_2,object,"H2_Path3_1, H2_Path3_3",H2015,Door_H2015_1,room,classroom,,
H2_Path3_3,object,"H2_Path3_2, H2_Path3_4",H2014,Door_H2014_2,room,classroom,,
H2_Path3_4,object,"H2_Path3_3, H2_Path3_5",Bathroom-Men_H2,Door_Bathroom-Men_H2,room,bathroom,,
H2_Path3_5,object,"H2_Path3_4, H2_Path3_6",H2015,Door_H2015_2,room,classroom,,
H2_Path3_6,,"H2_Path3_5, H2_Path3_7",,,,,,
H2_Path3_7,object,"H2_Path3_6, H2_Path3_8",H2009,Door_H2009,,,,
H2_Path3_8,object,"H2_Path3_7, H2_Path3_9",Bathroom-Women_H2,Door_Bathroom-Women_H2,room,bathroom,,
H2_Path3_9,object,"H2_Path3_8, H2_Path3_10",H2008,Door_H2008,room,classroom,,
H2_Path3_10,object,"H2_Path3_9, H2_Path3_11",H2005,Door_H2005,room,classroom,,
H2_Path3_11,object,"H2_Path3_10, H2_Path3_12",H2006,Door_H2006,room,classroom,,
H2_Path3_12,object,"H2_Path3_11, H2_Path3_13",H2003,Door_H2003_1,room,classroom,,
H2_Path3_13,object,"H2_Path3_12, H2_Path3_13",H2004,Door_H2004,room,classroom,,
H2_Path3_14,object,"H2_Path3_13, H2_Path3_15",H2003,Door_H2003_2,room,classroom,,
H2_Path3_15,object,"H2_Path3_14, H2_Path3_16",Stairs_2_H2,,exit,stairs,[H1|H3],[Stairs_2_H1|Stairs_2_H3]
H2_Path3_16,object,H2_Path3_15,F2-Building_H2,,exit,building_connection,F2,
H2_Path4_1,object,"H2_Int_1, H2_Path4_2",H2020,Door_H2020,room,classroom,,
H2_Path4_2,object,"H2_Path4_1, H2_Path4_3","H2023, H2024","Door_H2023, Door_H2024","room, room","classroom, classroom",,
H2_Path4_3,object,"H2_Path4_2, H2_Path4_4",H2025,Door_H2025,room,classroom,,
H2_Path4_4,object,"H2_Path4_3, H2_Path4_5",H2026,Door_H2026_1,room,classroom,,
H2_Path4_5,object,"H2_Path4_4, H2_Path4_6",H2027,Door_2027,room,classroom,,
H2_Path4_6,object,"H2_Path4_5, H2_Path4_7",H2026,Door_H2026_2,room,classroom,,
H2_Path4_7,object,"H2_Path4_6, H2_Path4_8",H2030,Door_H2030,room,classroom,,
H2_Path4_8,object,"H2_Path4_7, H2_Path4_9",H2032,Door_H2032,room,classroom,,
H2_Path4_9,object,"H2_Path4_8, H2_Path4_10",H2031,Door_H2031,room,classroom,,
H2_Path4_10,object,H2_Path4_9,Stairs_3_H2,exit,stairs,[H1|H3],[Stairs_3_H1|Stairs_3_H3],
